"id","module","title","format","priority","focal","focal_order","status","published","summary","who_for","audience","link_type","link_url","video_url","extra_files","image","license","date_published","r2i_attribution","owner","source_file","tags","related","note","gated"
"li-1-partner-handbook","Core Content","Partner Handbook","Document","Must Have","TRUE","2","ready","TRUE","The partner handbook orienting new sites to how the partnership works — roles, expectations, and available supports — so leaders know what to expect and how to get the most from year one.","","","download","","","","","","","","","IGNITE Partner Handbook.pdf","","","published; late update planned"
"li-1-executive-summary-2-pager","Core Content","Executive Summary (2-Pager)","Document","Must Have","TRUE","3","planned","FALSE","","","","download","","","","","","","","","","","","need to create"
"li-1-visual-improvement-pathway","Core Content","Visual Improvement Pathway","Document","Must Have","FALSE","","ready","TRUE","","","","download","","","","","","","","","","","","fully designed & published"
"li-1-spread-and-scale-planning-tool","Core Content","Spread and Scale Planning Tool","Document","Must Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","","","","needs refinement"
"li-1-enabling-conditions-checklist-cross-cutting","Core Content","Enabling Conditions Checklist (Cross-Cutting)","Document","Must Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","","needs consolidation"
"li-1-implementation-tracking-toolkit","Core Content","Implementation Tracking Toolkit","Tool","Must Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","","need to create"
"li-1-training-deck-onboarding-to-ignite-implementatio","Core Content","Training Deck — Onboarding to IGNITE Implementation","Deck","Must Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","","package for public"
"li-1-training-deck-coaching-structures-practices","Core Content","Training Deck — Coaching Structures & Practices","Deck","Must Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","",""
"li-1-training-deck-data-literacy-for-leaders","Core Content","Training Deck — Data Literacy for Leaders","Deck","Should Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","","need to create"
"li-1-training-deck-sustainability-advanced-topics","Core Content","Training Deck — Sustainability & Advanced Topics","Deck","Should Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","",""
"li-2-coaching-playbook","Coaching & Team Tools","Coaching Playbook","Document","Should Have","TRUE","1","ready","FALSE","","","","download","","","","","","","","","","","",""
"li-2-template-coaching-agendas","Coaching & Team Tools","Template Coaching Agendas","Template","Should Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","","","","needs refinement"
"li-2-huddle-agenda","Coaching & Team Tools","Huddle Agenda","Template","Should Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","","","",""
"li-2-learning-consolidation-agenda","Coaching & Team Tools","Learning Consolidation Agenda","Template","Should Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","","","",""
"li-2-deep-dive-agenda","Coaching & Team Tools","Deep Dive Agenda","Template","Should Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","","","",""
"li-2-onboarding-tools-for-new-leaders-team-members","Coaching & Team Tools","Onboarding Tools for New Leaders / Team Members","Document","Should Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","",""
"li-2-sustainability-plan-templates","Coaching & Team Tools","Sustainability Plan Templates","Document","Should Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","",""
"li-2-data-literacy-supports-for-educators","Coaching & Team Tools","Data Literacy Supports for Educators","Document","Should Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","",""
"li-2-partner-pitch-deck","Coaching & Team Tools","Partner Pitch Deck","Deck","Should Have","FALSE","","in_progress","FALSE","","","","download","","","","","","","","Stephanie","","","",""
"li-3-bright-spots-investigation-toolkit-protocol","Field Resources","Bright Spots Investigation Toolkit & Protocol","Document","Should Have","FALSE","","in_progress","FALSE","","","","download","","","","","","","","Stephanie","","","","needs clean up"
"li-4-case-study-1","Stories","Case Study 1","Case Study","Must Have","FALSE","","planned","FALSE","","","","download","","","","","","","","Stephanie","","","","field access req'd"
"li-4-case-study-2","Stories","Case Study 2","Case Study","Must Have","FALSE","","planned","FALSE","","","","download","","","","","","","","Stephanie","","","","field access req'd"
"li-3-data-systems-dashboards","Field Resources","Data Collection & Dashboard Toolkit","Tool","","TRUE","1","planned","FALSE","The data collection tools, trackers, and dashboard templates schools and intermediaries use to monitor implementation and student progress, and to act on what the data shows.","Leaders, coaches","","","","","","","","","","","","","","","FALSE"
