"id","module","title","format","priority","focal","focal_order","status","published","summary","who_for","audience","link_type","link_url","video_url","extra_files","image","image_caption","body","why_it_works","quote","overview","license","date_published","r2i_attribution","owner","source_file","tags","related","note","gated"
"collab-full-collection","Collaboration","Opening Doors to Collaboration (Full Collection)","Document","","TRUE","1","ready","TRUE","The complete Opening Doors to Collaboration collection: interdisciplinary practices for building collaboration between general and special education teams.","","","download","","","","","","","","","TRUE","CC BY 4.0","","","","collab-full-collection.pdf","","","migrated from CoLab Collaboration collection","FALSE"
"collab-co-planning-differentiated-instruction","Collaboration","Co-Planning for Differentiated Instruction","Document","","TRUE","2","ready","TRUE","Ensures collaborating teachers develop data-driven adaptations using expertise from both general and special education teachers.","","","download","","","","collections/collab-01.png","English co-planning in action at Collegiate Academies","The goal of co-planning is to ensure that collaborating teachers develop high-impact, data-driven adaptations to lessons that meet the needs of all students by drawing on the expertise of both the general and special education teachers. Effective co-planning leverages four key components — alignment, reflection, removal, and selection — to meet this goal. This practice highlights how teams across the NIC honed this work over time in a variety of collaboration models and includes a co-planning meeting template for schools to apply to their own settings.","Co-planning drives alignment in instruction across all settings, accelerating learning and minimizing confusion to positively impact student experience. || Strong co-planning builds knowledge, skill, and capacity among educators, especially benefiting those new to the field. || The structures of co-planning allow for the development of a strong, trusting, and collaborative relationship between educators.","Collegiate Academies used data-driven co-planning cycles to double the number of students with disabilities meeting graduation requirements through alternative means of demonstrating mastery.","FALSE","CC BY 4.0","","","","collab-co-planning-differentiated-instruction.pdf","","","migrated from CoLab Collaboration collection","FALSE"
"collab-student-work-analysis","Collaboration","A Collaborative Approach to Student Work Analysis","Document","","TRUE","3","ready","TRUE","Pairs educators to collect and review student performance data to align on instructional next steps.","","","download","","","","collections/collab-02.png","Ednovate, Los Angeles, CA","Collaborative student work analysis pairs a general and a special educator together to collect and review data on student performance and progress in course content. It deepens both educators’ understanding of student strengths and needs in order to align on instructional next steps. This practice includes Green Dot’s Student Work Analysis Protocol, which can be adapted by schools to meet their needs.","building educators’ capacity to understand root causes of misunderstandings, || ensuring critical alignment between teachers, || explicitly acknowledging the impact of students’ learning needs on their work, and || leveraging multiple forms of data.","After collaborating teachers at Ednovate implemented a collaborative student work analysis model, the course pass rate in their class increased from 79% to 97%.","FALSE","CC BY 4.0","","","","collab-student-work-analysis.pdf","","","migrated from CoLab Collaboration collection","FALSE"
"collab-high-impact-co-teaching","Collaboration","Achieving High-Impact Co-Teaching: A Gradual Release Model","Document","","TRUE","4","ready","TRUE","Provides a roadmap for schools to implement co-teaching through gradual release with coaching support.","","","download","","","","collections/collab-03.png","Green Dot Ánimo Watts co-teachers team teach a math lesson before moving to differentiated groupings.","Strong co-teaching that drives results for students requires teaching in ways that are often unfamiliar to educators. To implement co-teaching successfully, schools can take a gradual release model that helps build teachers’ knowledge and skill in implementing high-impact co-teaching models in their classrooms. Collegiate and Green Dot’s work provides a roadmap for how other schools and districts can provide timely and effective coaching to improve the quality of co-teaching.","High-impact co-teaching promotes inclusive learning environments with tailored instructional opportunities for all students. || Dedicated coaching acknowledges that sharing instructional responsibility in nontraditional ways is new and requires direct support. || Optimizing the roles of both co-teachers can lead to higher job satisfaction.","When co-teachers optimize their roles during lessons, all students experience double the support they would have with one teacher.","FALSE","CC BY 4.0","","","","collab-high-impact-co-teaching.pdf","","","migrated from CoLab Collaboration collection","FALSE"
"collab-green-dot-case-study","Collaboration","How Quarterly Professional Development Cycles Helped a Network Maximize Data-Driven Co-Planning for Co-Teachers: Green Dot Public Schools","Case Study","","TRUE","5","ready","TRUE","Case study on quarterly PD days blending professional learning with intentional co-planning time.","","","download","","","","collections/collab-04.png","Co-teachers complete a biweekly student work analysis at Green Dot Ánimo Watts in Los Angeles, CA .","This case study explores the coordination and implementation of quarterly professional development days for co-teaching teams that blend professional learning with intentional co-planning time. These facilitated days create purposeful time for teams to connect, reflect on student data with a student work analysis template, expand knowledge of high-leverage co-teaching models, and design instruction using those models for the upcoming quarter.

At Ánimo Watts College Preparatory Academy, quarterly co-planning PD days contributed to an increase of nearly three times the percentage of students with disabilities passing classes with a C+ or higher.","","At Ánimo Watts College Preparatory Academy, quarterly co-planning PD days contributed to an increase of nearly three times the percentage of students with disabilities passing classes with a C+ or higher.","FALSE","CC BY 4.0","","","","collab-green-dot-case-study.pdf","","","migrated from CoLab Collaboration collection","FALSE"
"collab-launch-collaborative-teams","Collaboration","How-To: Launch Effective Collaborative Teams","Document","","TRUE","6","ready","TRUE","Guidance for school leaders on forming effective teams, using recommendations from partner schools.","","","download","","","","collections/collab-05.png","NIC Co-Teaching Learning Tour participants visit partner schools.","Effective instructional coaching for collaborative teachers requires a different approach than coaching individual teachers. This guidance document provides school leaders with recommendations and resources that have been used to form effective school teams at Collegiate Academies, Green Dot Public Schools, KIPP Northern California, and Summit Public Schools.","","","FALSE","CC BY 4.0","","","","collab-launch-collaborative-teams.pdf","","","migrated from CoLab Collaboration collection","FALSE"
"collab-coaching-collaborative-teams","Collaboration","How-To: Establishing Coaching for Collaborative Teams","Document","","TRUE","7","ready","TRUE","Addresses common leadership questions about setting up effective coaching for collaborative teams.","","","download","","","","collections/collab-06.png","A small group meets with one co-teacher in math class at STEM Prep MSCP.","Collaboration between general and special educators has the ability to transform the experience and learning of both students and teachers. But collaborative work between these two historically siloed departments is neither intuitive nor easy to achieve. This guide addresses some of the most common questions leaders face when setting up effective coaching of collaborative teams.","","","FALSE","CC BY 4.0","","","","collab-coaching-collaborative-teams.pdf","","","migrated from CoLab Collaboration collection","FALSE"
"lit-full-collection","Secondary Literacy","Turning the Page to Secondary Literacy (Full Collection)","Document","","TRUE","1","ready","TRUE","The complete Turning the Page to Secondary Literacy collection: tested practices to identify gaps and implement interventions for secondary readers.","","","download","","","","","","","","","TRUE","CC BY 4.0","","","","lit-full-collection.pdf","","","migrated from CoLab Secondary Literacy collection","FALSE"
"lit-tiered-assessment","Secondary Literacy","Guiding Literacy Interventions Through Tiered Assessment","Document","","TRUE","2","ready","TRUE","Identify secondary students at risk of not meeting grade-level ELA benchmarks, pinpointing specific reading skill gaps.","","","download","","","","collections/lit-01.png","Glynis Shulters, Improvement Lead, Green Dot Public Schools California","Tiered assessment to guide literacy intervention planning refers to the practice of identifying secondary students who are at risk of not meeting grade-level ELA benchmarks or standards, pinpointing specific reading skill gaps for these students, and planning aligned evidence-based interventions to address the identified skill gaps. This practice outlines the individual steps involved in this process — (1) universal screening of reading, (2) diagnostic assessment of reading, and (3) alignment of evidence-based interventions to student needs — and provides guidance on the selection of assessments, development of decision-making criteria, and protocols for collaborative data-driven decision-making.","Quality universal screening assessments allow schools to efficiently identify students who are not reading at grade-level expectations. || Diagnostic assessments administered to the students identified as reading below grade level provide information on the specific reading skills students need. || Aligning evidence-based reading interventions with these identified skills ensures that students are getting the right support.","In 2022–23, three out of four students receiving additional reading interventions made progress in their oral reading fluency.","FALSE","CC BY 4.0","","","","lit-tiered-assessment.pdf","","","migrated from CoLab Secondary Literacy collection","FALSE"
"lit-repeated-reading","Secondary Literacy","Repeated Reading: Building Oral Reading Fluency in Secondary Readers","Document","","TRUE","3","ready","TRUE","Implements repeated reading practices across settings to build fluency skills.","","","download","","","","collections/lit-02.png","Students at Noble Schools","Repeated reading directly builds oral reading fluency skills, which has the potential to unlock access to grade level content for students. Fluent, accurate, and automatic word reading is strongly correlated with reading comprehension, or the ability to make meaning from text, which is the ultimate goal of reading. This practice describes the implementation of repeated reading — an evidence-based practice for building oral reading fluency — connected to authentic grade-level instruction, across several settings within the NIC. This practice includes a three-day repeated reading protocol.","Reading fluency is correlated with reading comprehension. || Reading fluency can be positively influenced by instruction. || Repeated oral reading is highly effective.","Through a daily oral reading fluency practice, students with IEPs at Noble Schools demonstrated beginning- to end-of-year Lexile growth commensurate with students without IEPs.","FALSE","CC BY 4.0","","","","lit-repeated-reading.pdf","","","migrated from CoLab Secondary Literacy collection","FALSE"
