"id","module","title","format","priority","focal","focal_order","status","published","summary","who_for","audience","link_type","link_url","video_url","extra_files","image","license","date_published","r2i_attribution","owner","source_file","tags","related","note"
"cp-1-practice-intro-video-cross-network","Overview","Practice Intro Video (Cross-Network)","Video","","FALSE","","planned","FALSE","","","","embed","","","","","","","","","","","",""
"cp-1-executive-summary","Overview","Executive Summary","Document","Must Have","TRUE","1","ready","FALSE","","","","download","","","","","","","","","[Marshall R2I] CO-PLANNING- Executive Summary.pdf","","","final proof"
"cp-1-training-deck-a-practitioner-s-overview","Overview","Training Deck — A Practitioner's Overview","Deck","Must Have","TRUE","2","ready","FALSE","","","","download","","","","","","","","Stephanie","","","","partner reviews"
"cp-1-co-planning-agenda-templates","Overview","Co-Planning Agenda Templates","Template","Must Have","FALSE","","ready","FALSE","","","","download","","","","","","","","Stephanie","[Marshall R2I] CO-PLANNING- Co-Planning Agenda Templates.pdf","","","design in progress"
"cp-1-infographic-and-impact-data","Overview","Infographic and Impact Data","Infographic","Must Have","FALSE","","planned","FALSE","","","","download","","","","","","","","Stephanie","","","","late July; needs cleared data"
"cp-1-2-pager-fact-sheet-overview","Overview","2-Pager Fact Sheet — Overview","Document","Nice to Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","R2IFactsheet_Coplanning.pdf","","",""
"cp-2-training-deck-for-leaders-enabling-conditions","Enabling Conditions","Training Deck — For Leaders: Enabling Conditions","Deck","Must Have","FALSE","","ready","FALSE","","","","download","","","","","","","","Stephanie","","","","partner reviews"
"cp-2-enabling-conditions-guide-and-self-assessment","Enabling Conditions","Enabling Conditions Guide and Self-Assessment","Tool","Must Have","TRUE","1","ready","TRUE","","","","download","","","","","","","","Stephanie","[CoLab IGNITE] Enabling Conditions: A guide for leaders.pdf","","","shared in newsletter; treat as final"
"cp-2-case-study-1-enabling-conditions","Enabling Conditions","Case Study 1 (Enabling Conditions)","Case Study","Must Have","FALSE","","planned","FALSE","","","","download","","","","","","","","Stephanie","","","","field access req'd"
"cp-2-leader-self-assessment-standalone","Enabling Conditions","Leader Self-Assessment (Standalone)","Document","Must Have","FALSE","","in_progress","FALSE","","","","download","","","","","","","","Stephanie","","","","rebranded; reviewer digest"
"cp-2-launch-plan-workbook","Enabling Conditions","Launch Plan Workbook","Document","Must Have","FALSE","","in_progress","FALSE","","","","download","","","","","","","","Kelley","","","","from Seminar; renamed from Getting Started Guide"
"cp-2-getting-started-guide","Enabling Conditions","Getting Started Guide","Document","Must Have","TRUE","2","in_progress","FALSE","","","","download","","","","","","","","","","","","see Launch Plan Workbook"
"cp-2-leader-videos-tbd","Enabling Conditions","Leader Videos (TBD)","Video","Must Have","FALSE","","planned","FALSE","","","","embed","","","","","","","","","","","",""
"cp-2-resource-for-vision-setting","Enabling Conditions","Resource for Vision Setting","Document","Must Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","",""
"cp-2-common-models","Enabling Conditions","Common Models","Document","Nice to Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","",""
"cp-2-collaboration-mapping-reflection-card","Enabling Conditions","Collaboration Mapping & Reflection Card","Tool","Nice to Have","FALSE","","in_progress","FALSE","","","","download","","","","","","","","","","","",""
"cp-3-training-deck-unpacking-the-co-planning-process","Getting Started","Training Deck — Unpacking the Co-Planning Process","Deck","Should Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","","","","partner reviews"
"cp-3-launch-meeting-guidance","Getting Started","Launch Meeting Guidance","Document","Should Have","FALSE","","in_progress","FALSE","","","","download","","","","","","","","Stephanie","","","","need to create"
"cp-3-launching-teams","Getting Started","Launching Teams","Document","Should Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","How-To - Launch Effective Collaborative Teams.pdf","","",""
"cp-3-team-roles-responsibilities-guide","Getting Started","Team Roles + Responsibilities Guide","Document","Should Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","","","",""
"cp-3-teacher-team-logistics-design-sheet","Getting Started","Teacher Team Logistics & Design Sheet","Document","Should Have","FALSE","","ready","FALSE","","","","download","","","","","","","","Stephanie","","","","minor revision"
"cp-3-training-deck-for-leaders-support-monitor-implem","Getting Started","Training Deck — For Leaders: Support & Monitor Implementation","Deck","Must Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","","","",""
"cp-4-training-deck-using-data-in-co-planning","Detailed Practice in Action","Training Deck — Using Data in Co-Planning","Deck","","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","",""
"cp-4-how-to-leverage-different-co-planning-structures","Detailed Practice in Action","How to Leverage Different Co-Planning Structures","Document","Must Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","[Marshall R2I] CO-PLANNING- How to leverage different co-planning structures.pdf","","","design in progress"
